id;name;business_id;short_code;parent_id;created_by;category_type;description;slug;deleted_at;created_at;updated_at
1;Military Resistors;1;1;;1;;;;;;
2;Resistors;1;2;;1;;;;;;
3;SMT Resistors;1;3;;1;;;;;;
4;SMT Capacitors;1;4;;1;;;;;;
5;Capacitors;1;5;;1;;;;;;
6;Military Capacitors;1;6;;1;;;;;;
7;Connectors;1;7;;1;;;;;;
8;Transformer;1;8;;1;;;;;;
9;Inductors, Coils;1;9;;1;;;;;;
10;Fuses;1;10;;1;;;;;;
11;Plugs, Jacks & Sockets;1;11;;1;;;;;;
12;Wires, Cables & Assemblies;1;12;;1;;;;;;
13;Switches / Bouton;1;13;;1;;;;;;
14;Power Supplies;1;14;;1;;;;;;
15;Fan;1;15;;1;;;;;;
16;Pin;1;16;;1;;;;;;
17;LCD;1;17;;1;;;;;;
18;PCBs;1;18;;1;;;;;;
19;Batteries;1;19;;1;;;;;;
20;Magnets & Ferrite Cores Parts And Assemblies;1;20;;1;;;;;;
21;Sensors & Transducers;1;21;;1;;;;;;
22;Subassembly Modules;1;22;;1;;;;;;
23;Relays & Keyboards;1;23;;1;;;;;;
24;Circuit & Heat Protection Components;1;24;;1;;;;;;
25;Adaptor, Rectifier and Converter;1;25;;1;;;;;;
26;Heat Sink;1;26;;1;;;;;;
27;I.C. DIP;1;27;;1;;;;;;
28;I.C. PLCC;1;28;;1;;;;;;
29;I.C. BGA;1;29;;1;;;;;;
30;I.C. SMT;1;30;;1;;;;;;
31;RF;1;31;;1;;;;;;
32;Optique;1;32;;1;;;;;;
33;Crystals, Oscillators;1;33;;1;;;;;;
34;DC/DC;1;34;;1;;;;;;
35;Transistors, Diodes;1;35;;1;;;;;;
36;Filter;1;36;;1;;;;;;
37;Sensors;1;37;;1;;;;;;
38;Optoelectronic Components;1;38;;1;;;;;;
39;Microwave Components;1;39;;1;;;;;;
40;Mosfet;1;40;;1;;;;;;
41;Aircraft Part;1;41;;1;;;;;;
42;Screw;1;42;;1;;;;;;
43;Led;1;43;;1;;;;;;
44;Tools;1;44;;1;;;;;;
45;Equipement;1;45;;1;;;;;;
46;Accessories;1;46;;1;;;;;;
47;Audio and Video Accessories;1;47;;1;;;;;;
48;OTHER PRODUCTS;1;48;;1;;;;;;
56;Potentiometers;1;56;;1;;;;;;
57;Regulator;1;57;;1;;;;;;
58;Octocoupler;1;58;;1;;;;;;
59;Motor;1;59;;1;;;;;;
60;Lamp;1;60;;1;;;;;;
61;Military Connector;1;61;;1;;;;;;
62;Amplifier;1;62;;1;;;;;;
